sent_id,sentence,n_gold_clusters,n_sys_triples,n_correct_sys_triples,n_recalled_clusters,precision,recall,f1
1,32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .,1,11,0,0,0.0,0.0,0.0
2,A CEN forms an important but small part of a Local Strategic Partnership .,3,3,1,1,0.333,0.333,0.333
3,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .",6,7,1,1,0.143,0.167,0.154
4,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",3,4,1,1,0.25,0.333,0.286
5,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .",4,12,0,0,0.0,0.0,0.0
6,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .,1,14,0,0,0.0,0.0,0.0
7,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .",1,6,0,0,0.0,0.0,0.0
8,"A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .",2,9,0,0,0.0,0.0,0.0
9,"A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .",1,9,0,0,0.0,0.0,0.0
10,A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .,1,15,0,0,0.0,0.0,0.0
11,"A short distance to the east , NC 111 diverges on Greenwood Boulevard .",1,6,0,0,0.0,0.0,0.0
12,"A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .",1,1,0,0,0.0,0.0,0.0
13,"According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .",4,12,0,0,0.0,0.0,0.0
14,"According to the 2010 census , the population of the town is 2,310 .",3,13,0,0,0.0,0.0,0.0
15,"According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .",2,10,0,0,0.0,0.0,0.0
16,After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .,5,3,0,0,0.0,0.0,0.0
17,"After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .",7,6,0,0,0.0,0.0,0.0
18,"After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .",4,6,0,0,0.0,0.0,0.0
19,"After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .",3,18,0,0,0.0,0.0,0.0
20,After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .,4,13,0,0,0.0,0.0,0.0
21,"Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .",3,7,0,0,0.0,0.0,0.0
22,"Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .",5,7,0,0,0.0,0.0,0.0
23,An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .,13,8,0,0,0.0,0.0,0.0
24,And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .,3,17,0,0,0.0,0.0,0.0
