1	Abilene regional airport	serves With in	Abiliene, part of Jones County, Texas,
1	Abilene regional airport	serves With	a runway length of 2194.0
1	Abilene regional airport	serves in	the United States
1	Abiliene	is	part of Jones County, Texas
1	Jones County	is	Texas
1	a runway length	of	2194.0 of
1	Abilene regional airport	serves With, a runway length of	2194.0
1	Abilene regional airport	serves	Abiliene
1	Abilene regional airport	part of	part
1	Abilene regional airport	serves in	Texas
2	Abilene Regional Airport	has	a runway length of 2194.0
2	Abilene Regional Airport	serves	Abilene, Jones County, Texas in the United States
2	Abilene Regional Airport	serves	Jones County, Texas
2	Jones County	is	Texas
2	a runway length	of	2194.0 of
2	Abilene Regional Airport	has	a runway length
2	Abilene Regional Airport	a runway length of	2194.0
2	Abilene Regional Airport	has serves	Abilene Jones County
2	Abilene Regional Airport	Abilene in	Texas
3	It	has	the ICAO location identifier KABI and the runway name
3	the ICAO location	is	identifier KABI and the runway name
3	It	has	17R/35L.
3	The airport	is in	sea level
3	The airport	has	a runway length of 2194.0
3	Abilene Regional Airport	has	a runway length of 2194.0
3	It	has	a runway length of 2194.0
3	Abilene Regional Airport	is in	sea level
3	It	is in	sea level
3	The airport	above	546 metres
3	a runway length	of	2194.0 of
3	It	is Serving, the city of, the city in has	the ICAO location
3	The airport	has is, is above	sea level
3	The airport	is has	a runway length
3	The airport	a runway length of	2194.0
4	Abilene, Texas	is served by	Abilene Regional Airport
4	Abilene Regional Airport	has	the ICAO location identifier of KABI
4	Abilene	is	Texas
4	It	located in	sea level
4	It	has	a runway 2194 metres long with the name of 17R/35L.
4	It	above	546 metres
4	a runway	long	2194 metres
4	the name	of	17R/35L. of 17R/35L.
4	Abilene Texas	served	Texas
4	Abilene Texas	served by	Abilene Regional Airport
4	Abilene Texas	has	the ICAO location
4	Abilene Texas	identifier of	identifier
4	It	located	KABI
4	It	located, located above	sea level
4	It	located has	a runway
4	It	long, a runway with	the name
4	It	the name of	17R/35L.
5	Abilene Regional Airport	serves	the city of Abilene in Texas
5	its ICAO identifier	is	KABI
5	its ICAO identifier	serves	the city of Abilene in Texas
5	its runway length	is	2194.0
5	its runway length	is	KABI
5	its runway length	is in	sea level
5	Abilene Regional Airport	is in	sea level
5	its ICAO identifier	is in	sea level
5	Abilene Regional Airport	is	2194.0
5	its ICAO identifier	is	2194.0
5	the name	is	17R/35L.
5	the name	is	2194.0
5	Abilene Regional Airport	serves	the city
5	Abilene Regional Airport	the city of	Abilene
5	Abilene Regional Airport	the city in	Texas
5	Abilene Regional Airport	is	its ICAO identifier
5	Abilene Regional Airport	KABI	its runway length
5	Abilene Regional Airport	is 2194.0, is above	sea level
5	the name	is, the name of	the runway
6	The Adolfo Suárez Madrid–Barajas Airport	is operated by	ENAIRE
6	The Adolfo Suárez Madrid	can be found in	Madrid
6	The Adolfo Suárez Madrid	operated to found in	Madrid
6	The Adolfo Suárez Madrid	is operated	The Adolfo Suárez Madrid–Barajas Airport
6	The Adolfo Suárez Madrid	is	Barajas Airport
6	The airport	situated in	sea level
6	The airport	has	a 4,349 kilometers long runway whose name is 14L/32R.
