sent_id,subject,relation,object,high_fidelity(sim>=90),correctness_%,correctness,completeness_of_sentence,minimality,accuracy_%
1,Abilene regional airport,serves With in,"Abiliene, part of Jones County, Texas,",True,100.0,1.0,0.929,0.4,77.6
1,Abilene regional airport,serves With,a runway length of 2194.0,True,94.0,0.94,0.929,0.5,79.0
1,Abilene regional airport,serves in,the United States,True,92.8,0.928,0.929,0.6,81.9
1,Abiliene,is,"part of Jones County, Texas",False,70.0,0.7,0.929,0.65,76.0
1,Jones County,is,Texas,False,38.5,0.385,0.929,0.8,70.5
1,a runway length,of,2194.0 of,False,83.7,0.837,0.929,0.7,82.2
1,Abilene regional airport,"serves With, a runway length of",2194.0,False,88.5,0.885,0.929,0.5,77.1
1,Abilene regional airport,serves,Abiliene,False,87.3,0.873,0.929,0.75,85.1
1,Abilene regional airport,part of,part,True,100.0,1.0,0.929,0.7,87.6
1,Abilene regional airport,serves in,Texas,True,91.9,0.919,0.929,0.7,84.9
2,Abilene Regional Airport,has,a runway length of 2194.0,True,100.0,1.0,0.923,0.526,81.6
2,Abilene Regional Airport,serves,"Abilene, Jones County, Texas in the United States",True,95.5,0.955,0.923,0.368,74.9
2,Abilene Regional Airport,serves,"Jones County, Texas",True,100.0,1.0,0.923,0.632,85.2
2,Jones County,is,Texas,False,68.8,0.688,0.923,0.789,80.0
2,a runway length,of,2194.0 of,True,100.0,1.0,0.923,0.684,86.9
2,Abilene Regional Airport,has,a runway length,True,100.0,1.0,0.923,0.632,85.2
2,Abilene Regional Airport,a runway length of,2194.0,True,100.0,1.0,0.923,0.579,83.4
2,Abilene Regional Airport,has serves,Abilene Jones County,True,92.1,0.921,0.923,0.579,80.8
2,Abilene Regional Airport,Abilene in,Texas,True,100.0,1.0,0.923,0.684,86.9
3,It,has,the ICAO location identifier KABI and the runway name,True,100.0,1.0,0.87,0.711,86.0
3,the ICAO location,is,identifier KABI and the runway name,True,100.0,1.0,0.87,0.737,86.9
3,It,has,17R/35L.,True,100.0,1.0,0.87,0.921,93.0
3,The airport,is in,sea level,True,100.0,1.0,0.87,0.842,90.4
3,The airport,has,a runway length of 2194.0,True,90.7,0.907,0.87,0.789,85.5
3,Abilene Regional Airport,has,a runway length of 2194.0,True,93.1,0.931,0.87,0.763,85.5
3,It,has,a runway length of 2194.0,False,87.7,0.877,0.87,0.816,85.4
3,Abilene Regional Airport,is in,sea level,True,100.0,1.0,0.87,0.816,89.5
3,It,is in,sea level,True,100.0,1.0,0.87,0.868,91.3
3,The airport,above,546 metres,True,100.0,1.0,0.87,0.868,91.3
3,a runway length,of,2194.0 of,False,83.7,0.837,0.87,0.842,85.0
3,It,"is Serving, the city of, the city in has",the ICAO location,False,84.3,0.843,0.87,0.658,79.0
3,The airport,"has is, is above",sea level,True,94.4,0.944,0.87,0.789,86.8
3,The airport,is has,a runway length,True,100.0,1.0,0.87,0.816,89.5
3,The airport,a runway length of,2194.0,False,89.6,0.896,0.87,0.816,86.1
4,"Abilene, Texas",is served by,Abilene Regional Airport,True,100.0,1.0,0.955,0.778,91.1
4,Abilene Regional Airport,has,the ICAO location identifier of KABI,True,96.0,0.96,0.955,0.722,87.9
4,Abilene,is,Texas,True,100.0,1.0,0.955,0.917,95.7
4,It,located in,sea level,True,93.0,0.93,0.955,0.861,91.5
4,It,has,a runway 2194 metres long with the name of 17R/35L.,True,100.0,1.0,0.955,0.667,87.4
4,It,above,546 metres,True,100.0,1.0,0.955,0.889,94.8
4,a runway,long,2194 metres,True,100.0,1.0,0.955,0.861,93.9
4,the name,of,17R/35L. of 17R/35L.,True,100.0,1.0,0.955,0.833,92.9
4,Abilene Texas,served,Texas,True,100.0,1.0,0.955,0.889,94.8
4,Abilene Texas,served by,Abilene Regional Airport,True,100.0,1.0,0.955,0.806,92.0
4,Abilene Texas,has,the ICAO location,True,100.0,1.0,0.955,0.833,92.9
4,Abilene Texas,identifier of,identifier,True,100.0,1.0,0.955,0.861,93.9
4,It,located,KABI,False,80.0,0.8,0.955,0.917,89.1
4,It,"located, located above",sea level,False,85.2,0.852,0.955,0.833,88.0
4,It,located has,a runway,True,100.0,1.0,0.955,0.861,93.9
4,It,"long, a runway with",the name,False,89.3,0.893,0.955,0.806,88.5
4,It,the name of,17R/35L.,True,100.0,1.0,0.955,0.861,93.9
5,Abilene Regional Airport,serves,the city of Abilene in Texas,True,93.9,0.939,0.9,0.706,84.8
5,its ICAO identifier,is,KABI,False,89.8,0.898,0.9,0.853,88.4
5,its ICAO identifier,serves,the city of Abilene in Texas,True,94.2,0.942,0.9,0.706,84.9
5,its runway length,is,2194.0,True,100.0,1.0,0.9,0.853,91.8
5,its runway length,is,KABI,False,88.9,0.889,0.9,0.853,88.1
5,its runway length,is in,sea level,True,90.0,0.9,0.9,0.794,86.5
5,Abilene Regional Airport,is in,sea level,True,91.9,0.919,0.9,0.794,87.1
5,its ICAO identifier,is in,sea level,True,90.6,0.906,0.9,0.794,86.7
5,Abilene Regional Airport,is,2194.0,True,100.0,1.0,0.9,0.853,91.8
5,its ICAO identifier,is,2194.0,True,100.0,1.0,0.9,0.853,91.8
5,the name,is,17R/35L.,True,100.0,1.0,0.9,0.882,92.7
5,the name,is,2194.0,True,100.0,1.0,0.9,0.882,92.7
5,Abilene Regional Airport,serves,the city,True,100.0,1.0,0.9,0.824,90.8
5,Abilene Regional Airport,the city of,Abilene,True,100.0,1.0,0.9,0.794,89.8
5,Abilene Regional Airport,the city in,Texas,True,92.3,0.923,0.9,0.794,87.2
5,Abilene Regional Airport,is,its ICAO identifier,True,100.0,1.0,0.9,0.794,89.8
5,Abilene Regional Airport,KABI,its runway length,True,94.4,0.944,0.9,0.794,87.9
5,Abilene Regional Airport,"is 2194.0, is above",sea level,False,84.1,0.841,0.9,0.735,82.5
5,the name,"is, the name of",the runway,True,90.0,0.9,0.9,0.765,85.5
6,The Adolfo Suárez Madrid–Barajas Airport,is operated by,ENAIRE,True,100.0,1.0,0.962,0.743,90.2
6,The Adolfo Suárez Madrid,can be found in,Madrid,True,90.4,0.904,0.962,0.743,87.0
6,The Adolfo Suárez Madrid,operated to found in,Madrid,False,87.5,0.875,0.962,0.743,86.0
6,The Adolfo Suárez Madrid,is operated,The Adolfo Suárez Madrid–Barajas Airport,True,93.7,0.937,0.962,0.686,86.2
6,The Adolfo Suárez Madrid,is,Barajas Airport,False,78.9,0.789,0.962,0.8,85.0
6,The airport,situated in,sea level,True,100.0,1.0,0.962,0.829,93.0
6,The airport,has,"a 4,349 kilometers long runway whose name is 14L/32R.",True,100.0,1.0,0.962,0.657,87.3
6,runway,runway,14L/32R.,True,100.0,1.0,0.962,0.914,95.9
6,whose name,is,14L/32R.,True,100.0,1.0,0.962,0.886,94.9
6,runway,is,long,True,100.0,1.0,0.962,0.914,95.9
6,The airport,above,610.0 meters,True,100.0,1.0,0.962,0.857,94.0
6,The airport,long,"4,349 kilometers",True,100.0,1.0,0.962,0.857,94.0
6,The airport,is,14L/32R.,True,100.0,1.0,0.962,0.886,94.9
6,The Adolfo Suárez Madrid Barajas Airport,operated,Barajas Airport,False,81.9,0.819,0.962,0.743,84.1
6,The Adolfo Suárez Madrid Barajas Airport,operated by,ENAIRE,False,85.4,0.854,0.962,0.743,85.3
6,The Adolfo Suárez Madrid Barajas Airport,"operated found, found in",Madrid,False,79.6,0.796,0.962,0.686,81.5
6,The airport,"situated, situated above",sea level,False,87.8,0.878,0.962,0.8,88.0
6,The airport,"situated has long, has runway",runway,True,91.2,0.912,0.962,0.771,88.2
6,The airport,is,whose name,True,100.0,1.0,0.962,0.857,94.0
7,Adolfo Suárez Madrid-Barajas Airport,lies in,sea level,False,85.1,0.851,0.913,0.724,82.9
