sent_id,subject,relation,object,matched,best_similarity_%,correctness,completeness,minimality,accuracy_%
1,32.7 %,were made up of,32.7 % of all households,False,80.8,0.808,0.0,0.0,26.9
1,32.7 %,made,individuals,False,61.3,0.613,0.0,0.0,20.4
1,32.7 %,had,someone living alone who was 65 years of age or older,False,50.0,0.5,0.0,0.0,16.7
1,15.7 %,had,someone living alone who was 65 years of age or older,False,46.6,0.466,0.0,0.0,15.5
1,15.7 %,were made up of,32.7 % of all households,False,80.8,0.808,0.0,0.0,26.9
1,someone,was,65 years of age or older,False,36.4,0.364,0.0,0.0,12.1
1,32.7 %,made,32.7 % of all households of all households,False,67.9,0.679,0.0,0.0,22.6
1,32.7 %,was,65 years of age or older,False,46.0,0.46,0.0,0.0,15.3
1,32.7 %,32.7 % of,all households,False,57.8,0.578,0.0,0.0,19.3
1,32.7 %,"made, made up, made of",individuals,False,64.5,0.645,0.0,0.0,21.5
1,15.7 %,made had,someone,False,42.7,0.427,0.0,0.0,14.2
2,A CEN,forms,an important but small part of a Local Strategic Partnership,True,92.5,0.925,1.0,0.846,92.4
2,A CEN,forms,an important but small part,False,63.4,0.634,0.0,0.0,21.1
2,A CEN,an important but small part of,a Local Strategic Partnership,False,87.8,0.878,0.0,0.0,29.3
3,he,became in at,the youngest mayor in Pittsburgh 's history,True,94.6,0.946,1.0,0.818,92.1
3,he,became in,September 2006,False,46.6,0.466,0.0,0.0,15.5
3,he,became at,the age of 26,False,54.2,0.542,0.0,0.0,18.1
3,Democrat became,became,Democrat,False,54.2,0.542,0.0,0.0,18.1
3,he,"became the youngest mayor, the youngest mayor in",Pittsburgh 's history,False,84.1,0.841,0.0,0.0,28.0
3,he,became in,September 2006,False,46.6,0.466,0.0,0.0,15.5
3,he,became at,the age of 26,False,54.2,0.542,0.0,0.0,18.1
4,A cafeteria,located on,the sixth floor,True,90.5,0.905,0.778,1.0,89.4
4,A cafeteria,"located, located also located, located on",the sixth floor,False,76.5,0.765,0.0,0.0,25.5
4,A cafeteria,"located, chapel on",the 14th floor,False,82.9,0.829,0.0,0.0,27.6
4,A cafeteria,hall on,the 15th floor,False,67.6,0.676,0.0,0.0,22.5
5,A casting director,told,Scott,False,40.4,0.404,0.0,0.0,13.5
5,he,'d met,him,False,25.6,0.256,0.0,0.0,8.5
5,he,was casting,the `` G.I. Joe '' cartoon,False,51.3,0.513,0.0,0.0,17.1
5,he,told,Scott,False,25.6,0.256,0.0,0.0,8.5
5,A casting director,before,a week,False,38.3,0.383,0.0,0.0,12.8
5,A casting director,told_that,that he had wished that he 'd met him a week before,False,46.2,0.462,0.0,0.0,15.4
5,A casting director,A casting director at,the time,False,47.4,0.474,0.0,0.0,15.8
5,A casting director,told,Scott,False,40.4,0.404,0.0,0.0,13.5
5,A casting director,wished,he,False,36.6,0.366,0.0,0.0,12.2
5,A casting director,met,he,False,37.8,0.378,0.0,0.0,12.6
5,A casting director,met,him,False,35.2,0.352,0.0,0.0,11.7
5,he,"met before casting, casting for",the `` G.I. Joe '' cartoon,False,49.6,0.496,0.0,0.0,16.5
6,A common name,followed in,1982,False,33.8,0.338,0.0,0.0,11.3
6,A common name,followed in,the establishment of the `` TV8 '' network between the three stations,False,33.8,0.338,0.0,0.0,11.3
6,logo,followed in,1982,False,26.5,0.265,0.0,0.0,8.8
6,logo,followed in,the establishment of the `` TV8 '' network between the three stations,False,33.1,0.331,0.0,0.0,11.0
6,programming schedule,followed in,1982,False,35.7,0.357,0.0,0.0,11.9
6,programming schedule,followed in,the establishment of the `` TV8 '' network between the three stations,False,33.6,0.336,0.0,0.0,11.2
6,A common name,changed,the `` Southern Cross Network '',False,39.6,0.396,0.0,0.0,13.2
6,logo,changed,the `` Southern Cross Network '',False,37.0,0.37,0.0,0.0,12.3
6,programming schedule,changed,the `` Southern Cross Network '',False,38.9,0.389,0.0,0.0,13.0
6,A common name,"followed, followed in",1982,False,32.2,0.322,0.0,0.0,10.7
6,A common name,followed with,the establishment,False,39.1,0.391,0.0,0.0,13.0
6,A common name,the establishment of,the `` TV8 '' network,False,35.0,0.35,0.0,0.0,11.7
6,A common name,the `` TV8 '' network between,the three stations,False,36.7,0.367,0.0,0.0,12.2
6,A common name,"followed changed, changed to",the `` Southern Cross Network '',False,39.3,0.393,0.0,0.0,13.1
7,A cooling center,is,a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave,False,43.6,0.436,0.0,0.0,14.5
7,a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave,set up by,local authorities,False,43.0,0.43,0.0,0.0,14.3
7,a temporary air-conditioned public space,to deal,the health effects of a heat wave,False,44.2,0.442,0.0,0.0,14.7
7,A cooling center,"is a temporary air-conditioned public space, a temporary air-conditioned public space set, set up by",local authorities,False,43.6,0.436,0.0,0.0,14.5
7,A cooling center,"deal to deal, deal with",the health effects,False,40.7,0.407,0.0,0.0,13.6
7,A cooling center,the health effects of,a heat wave,False,39.2,0.392,0.0,0.0,13.1
8,A manifold,is,`` prime,False,31.9,0.319,0.0,0.0,10.6
8,A manifold,is,the sphere of the same dimension,False,38.7,0.387,0.0,0.0,12.9
8,A manifold,if can not be presented as,if it can not be presented as a connected sum of more than one manifold,False,34.6,0.346,0.0,0.0,11.5
8,it,is to presented as,a connected sum of more than one manifold,False,45.5,0.455,0.0,0.0,15.2
8,none,is,the sphere of the same dimension,False,39.1,0.391,0.0,0.0,13.0
8,it,"is `` prime, presented not presented, presented as",a connected sum,False,41.4,0.414,0.0,0.0,13.8
8,it,a connected sum of,more than one manifold,False,39.6,0.396,0.0,0.0,13.2
8,it,none of,none,False,35.5,0.355,0.0,0.0,11.8
8,it,"is the sphere, the sphere of",the same dimension,False,43.3,0.433,0.0,0.0,14.4
9,A mid-March 2002 court order,printing,three months,False,37.5,0.375,0.0,0.0,12.5
9,A mid-March 2002 court order,was evaded,A mid-March 2002 court order to stop printing for three months,False,35.4,0.354,0.0,0.0,11.8
9,A mid-March 2002 court order,printing in,"other titles , such as `` Not That Respublika",False,36.5,0.365,0.0,0.0,12.2
9,such as `` Not That Respublika,is,such,False,34.0,0.34,0.0,0.0,11.3
9,A mid-March 2002 court order,for,three months for three months,False,45.2,0.452,0.0,0.0,15.1
9,A mid-March 2002 court order,to stop to,printing for three months,False,39.4,0.394,0.0,0.0,13.1
9,A mid-March 2002 court order,"evaded, stop to, A mid-March 2002 court order stop, stop printing, printing for",three months,False,35.0,0.35,0.0,0.0,11.7
9,A mid-March 2002 court order,"evaded by, by printing, printing under",other titles,False,35.2,0.352,0.0,0.0,11.7
9,A mid-March 2002 court order,"such, other titles as",Not That Respublika,False,34.8,0.348,0.0,0.0,11.6
10,the few,held in in,the UK,False,31.3,0.313,0.0,0.0,10.4
10,the few,held in,the UK,False,32.5,0.325,0.0,0.0,10.8
10,A motorcycle speedway,was staged at,A motorcycle speedway long-track meeting,False,35.8,0.358,0.0,0.0,11.9
10,A motorcycle speedway,was staged at,one of the few held in the UK,False,37.4,0.374,0.0,0.0,12.5
10,one,was staged at,A motorcycle speedway long-track meeting,False,39.7,0.397,0.0,0.0,13.2
10,one,was staged at,one of the few held in the UK,False,40.0,0.4,0.0,0.0,13.3
10,A motorcycle speedway,staged at,Ammanford,False,38.4,0.384,0.0,0.0,12.8
10,one,staged at,Ammanford,False,37.0,0.37,0.0,0.0,12.3
10,A motorcycle speedway,is,long-track meeting,False,37.6,0.376,0.0,0.0,12.5
10,A motorcycle speedway,staged,one of the few held in the UK of,False,35.3,0.353,0.0,0.0,11.8
10,one,staged,one of the few held in the UK of,False,37.6,0.376,0.0,0.0,12.5
10,A motorcycle speedway,staged,long-track meeting,False,36.2,0.362,0.0,0.0,12.1
10,one,one of,few,False,33.3,0.333,0.0,0.0,11.1
10,one,"few held, held in",the UK,False,34.9,0.349,0.0,0.0,11.6
10,one,"staged, staged at",Ammanford,False,38.2,0.382,0.0,0.0,12.7
11,A partial list,may use in,one or more centrifugal compressors,False,30.3,0.303,0.0,0.0,10.1
11,A partial list,use in,the machine,False,25.4,0.254,0.0,0.0,8.5
11,A partial list,are listed,A partial list of turbomachinery that may use one or more centrifugal compressors within the machine,False,23.2,0.232,0.0,0.0,7.7
11,A partial list,"listed, A partial list of",turbomachinery,False,25.8,0.258,0.0,0.0,8.6
11,A partial list,use,one or more centrifugal compressors,False,32.6,0.326,0.0,0.0,10.9
11,A partial list,use within,the machine,False,29.3,0.293,0.0,0.0,9.8
12,A short distance,is,", NC 111 diverges on Greenwood Boulevard",False,35.0,0.35,0.0,0.0,11.7
13,A spectrum,has,a low signal-to-noise ratio,False,41.1,0.411,0.0,0.0,13.7
13,A spectrum,improves,averaging of repeated acquisitions,False,40.3,0.403,0.0,0.0,13.4
13,it,has to improves,averaging of repeated acquisitions,False,40.0,0.4,0.0,0.0,13.3
13,it,has,a low signal-to-noise ratio,False,41.5,0.415,0.0,0.0,13.8
13,ratio,is,low,False,45.2,0.452,0.0,0.0,15.1
13,A spectrum from a single FID,has,a low signal to noise ratio,False,43.3,0.433,0.0,0.0,14.4
13,A spectrum,"has, A spectrum from",a single FID,False,38.6,0.386,0.0,0.0,12.9
13,A spectrum,"has low, signal to",noise,False,40.7,0.407,0.0,0.0,13.6
13,A spectrum,improves fortunately,ratio,False,39.3,0.393,0.0,0.0,13.1
13,A spectrum,has improves,it,False,44.4,0.444,0.0,0.0,14.8
13,A spectrum,"improves readily, improves with",averaging,False,37.7,0.377,0.0,0.0,12.6
13,A spectrum,averaging of,repeated acquisitions,False,40.0,0.4,0.0,0.0,13.3
14,he,forged to According,Hofmann,False,46.8,0.468,0.0,0.0,15.6
14,he,forged on,a rare mint mark,False,32.7,0.327,0.0,0.0,10.9
14,he,forged on,a dime,False,35.6,0.356,0.0,0.0,11.9
14,he,while collector,while still a teenage coin collector,False,42.0,0.42,0.0,0.0,14.0
14,he,was told by,an organization,False,42.3,0.423,0.0,0.0,14.1
14,it,was,genuine,False,61.1,0.611,0.0,0.0,20.4
14,collector,is,teenage,False,38.1,0.381,0.0,0.0,12.7
14,he,"forged According, According to, collector still",Hofmann,False,47.5,0.475,0.0,0.0,15.8
14,he,forged,a rare mint mark,False,33.3,0.333,0.0,0.0,11.1
14,he,forged on,a dime,False,35.6,0.356,0.0,0.0,11.9
14,he,forged told by,an organization,False,40.7,0.407,0.0,0.0,13.6
14,he,an organization of,coin collectors,False,41.3,0.413,0.0,0.0,13.8
14,he,was,it,False,51.6,0.516,0.0,0.0,17.2
15,the Samaritan ethnonym,derived to According,Samaritan tradition,False,36.9,0.369,0.0,0.0,12.3
15,the Samaritan ethnonym,derived from,the region of Samaria,False,39.7,0.397,0.0,0.0,13.2
15,they,were,the `` Guardians '' of the true Israelite religion,False,36.2,0.362,0.0,0.0,12.1
15,the fact,were,the `` Guardians '' of the true Israelite religion,False,39.4,0.394,0.0,0.0,13.1
15,the Samaritan ethnonym,"derived According, According to, derived however",Samaritan tradition,False,38.8,0.388,0.0,0.0,12.9
15,the Samaritan ethnonym,"derived not derived, derived from",the region,False,35.6,0.356,0.0,0.0,11.9
15,the Samaritan ethnonym,the region of,Samaria,False,39.0,0.39,0.0,0.0,13.0
15,the Samaritan ethnonym,derived from,the fact,False,34.4,0.344,0.0,0.0,11.5
15,the Samaritan ethnonym,the `` Guardians,they,False,36.1,0.361,0.0,0.0,12.0
15,the Samaritan ethnonym,the `` Guardians of,the true Israelite religion,False,39.2,0.392,0.0,0.0,13.1
16,the population,is,"2,310",False,39.1,0.391,0.0,0.0,13.0
16,the population,"is According, According to",the 2010 census,False,37.5,0.375,0.0,0.0,12.5
16,the population,the population of,the town,False,37.5,0.375,0.0,0.0,12.5
17,many Koreans,became to According,the South Koreans,False,41.4,0.414,0.0,0.0,13.8
17,many Koreans,became in,victims of Japanese brutalities,False,34.6,0.346,0.0,0.0,11.5
17,many Koreans,became in,the colonial period,False,53.2,0.532,0.0,0.0,17.7
17,many Koreans,"became According, According to",the South Koreans,False,40.8,0.408,0.0,0.0,13.6
17,many Koreans,"became victims, victims of",Japanese brutalities,False,35.0,0.35,0.0,0.0,11.7
17,many Koreans,became during,the colonial period,False,50.6,0.506,0.0,0.0,16.9
18,the town,has to According,the United States Census Bureau,False,41.1,0.411,0.0,0.0,13.7
