sent_id,subject,relation,object,matched,best_similarity_%,correctness,completeness,minimality,accuracy_%
1,He,served as,the first Prime Minister of Australia,True,100.0,1.0,1.0,1.0,100.0
1,He,became,a founding justice of the High Court of Australia,True,100.0,1.0,1.0,0.455,81.8
1,He,"served, served as",the first Prime Minister,False,77.9,0.779,0.0,0.0,26.0
1,He,the first Prime Minister of,Australia,False,88.9,0.889,0.0,0.0,29.6
1,He,"served became a founding justice, a founding justice of",the High Court of,False,75.6,0.756,0.0,0.0,25.2
2,Graner,handcuffed,him,True,100.0,1.0,1.0,1.0,100.0
2,Graner,left,him,True,100.0,1.0,1.0,1.0,100.0
2,Graner,handcuffed,the bars of a cell window,True,92.5,0.925,0.8,1.0,90.8
2,Graner,handcuffed to left,nearly five hours,False,76.7,0.767,0.0,0.0,25.6
2,feet,dangling in,the floor,True,90.6,0.906,0.8,1.0,90.2
2,feet,dangling off,the floor,True,100.0,1.0,1.0,1.0,100.0
2,Graner,handcuffed,him,True,100.0,1.0,1.0,1.0,100.0
2,Graner,handcuffed to,the bars,False,76.0,0.76,0.0,0.0,25.3
2,Graner,the bars of,a cell window,False,78.0,0.78,0.0,0.0,26.0
2,Graner,handcuffed left,him,False,89.4,0.894,0.0,0.0,29.8
2,Graner,"left there, feet dangling, dangling off",the floor,False,65.1,0.651,0.0,0.0,21.7
2,Graner,left for,nearly five hours,False,86.8,0.868,0.0,0.0,28.9
3,It,deals,"cases of fraud in relation to direct taxes and indirect taxes , tax credits , drug smuggling , and money laundering , cases involving United Nations trade sanctions , conflict diamonds and CITES",False,44.1,0.441,0.0,0.0,14.7
3,cases,involving,"United Nations trade sanctions , conflict diamonds and CITES",False,75.4,0.754,0.0,0.0,25.1
3,cases,involving,conflict diamonds and CITES,False,86.8,0.868,0.0,0.0,28.9
3,cases,involving,CITES,True,100.0,1.0,1.0,1.0,100.0
3,tax credits,is,"cases involving United Nations trade sanctions , conflict diamonds and CITES",False,68.9,0.689,0.0,0.0,23.0
3,It,"deals, deals with",cases,False,77.8,0.778,0.0,0.0,25.9
3,It,cases of,fraud,False,75.6,0.756,0.0,0.0,25.2
3,It,cases in,relation,False,58.5,0.585,0.0,0.0,19.5
3,It,relation to,direct taxes,False,65.1,0.651,0.0,0.0,21.7
3,It,cases involving,cases,False,84.4,0.844,0.0,0.0,28.1
4,St. Michael,considered in,this association,False,58.6,0.586,0.0,0.0,19.5
4,St. Michael,be,the patron saint of colonial Maryland,True,97.2,0.972,0.75,1.0,90.7
4,St. Michael,was honored by,the river,False,78.3,0.783,0.0,0.0,26.1
4,the river,being named for,him,True,100.0,1.0,0.714,1.0,90.5
4,the river,being named,him,True,92.6,0.926,0.571,1.0,83.2
4,as,is,such,False,25.6,0.256,0.0,0.0,8.5
4,St. Michael,"considered Because, Because of considered, be to the patron saint, the patron saint of",colonial Maryland,False,75.7,0.757,0.0,0.0,25.2
4,St. Michael,"such, considered honored by",the river,False,66.7,0.667,0.0,0.0,22.2
4,St. Michael,"the river named, named for",him,False,78.5,0.785,0.0,0.0,26.2
5,The show,happening in,"spoof adverts , short sketches , and recurring show elements",False,67.1,0.671,0.0,0.0,22.4
5,The show,as was,as if the viewer was channel surfing through a multi-channel wasteland,True,90.4,0.904,0.8,1.0,90.1
5,The show,happening,"happening upon spoof adverts , short sketches , and recurring show elements",False,65.9,0.659,0.0,0.0,22.0
5,the viewer,was,channel,False,60.6,0.606,0.0,0.0,20.2
