sent_id,subject,relation,object,high_fidelity(sim>=90),correctness_%,correctness,completeness_of_sentence,minimality,accuracy_%
1,He,served as,the first Prime Minister of Australia,True,100.0,1.0,1.0,0.571,85.7
1,He,became,a founding justice of the High Court of Australia,True,100.0,1.0,1.0,0.476,82.5
1,He,"served, served as",the first Prime Minister,True,90.2,0.902,1.0,0.619,84.0
1,He,the first Prime Minister of,Australia,True,100.0,1.0,1.0,0.667,88.9
1,He,"served became a founding justice, a founding justice of",the High Court of,True,92.2,0.922,1.0,0.333,75.2
2,Graner,handcuffed,him,True,100.0,1.0,1.0,0.885,96.2
2,Graner,left,him,True,100.0,1.0,1.0,0.885,96.2
2,Graner,handcuffed,the bars of a cell window,True,100.0,1.0,1.0,0.692,89.7
2,Graner,handcuffed to left,nearly five hours,True,100.0,1.0,1.0,0.731,91.0
2,feet,dangling in,the floor,True,93.9,0.939,1.0,0.808,91.6
2,feet,dangling off,the floor,True,100.0,1.0,1.0,0.808,93.6
2,Graner,handcuffed,him,True,100.0,1.0,1.0,0.885,96.2
2,Graner,handcuffed to,the bars,True,100.0,1.0,1.0,0.808,93.6
2,Graner,the bars of,a cell window,True,100.0,1.0,1.0,0.731,91.0
2,Graner,handcuffed left,him,True,100.0,1.0,1.0,0.846,94.9
2,Graner,"left there, feet dangling, dangling off",the floor,False,82.1,0.821,1.0,0.654,82.5
2,Graner,left for,nearly five hours,True,100.0,1.0,1.0,0.769,92.3
3,It,deals,"cases of fraud in relation to direct taxes and indirect taxes , tax credits , drug smuggling , and money laundering , cases involving United Nations trade sanctions , conflict diamonds and CITES",True,100.0,1.0,1.0,0.054,68.5
3,cases,involving,"United Nations trade sanctions , conflict diamonds and CITES",True,100.0,1.0,1.0,0.703,90.1
3,cases,involving,conflict diamonds and CITES,True,100.0,1.0,1.0,0.838,94.6
3,cases,involving,CITES,True,100.0,1.0,1.0,0.919,97.3
3,tax credits,is,"cases involving United Nations trade sanctions , conflict diamonds and CITES",True,98.3,0.983,1.0,0.622,86.8
3,It,"deals, deals with",cases,False,84.4,0.844,1.0,0.865,90.3
3,It,cases of,fraud,True,100.0,1.0,1.0,0.892,96.4
3,It,cases in,relation,True,100.0,1.0,1.0,0.892,96.4
3,It,relation to,direct taxes,True,100.0,1.0,1.0,0.865,95.5
3,It,cases involving,cases,True,100.0,1.0,1.0,0.892,96.4
4,St. Michael,considered in,this association,True,96.3,0.963,1.0,0.806,92.3
4,St. Michael,be,the patron saint of colonial Maryland,True,100.0,1.0,1.0,0.71,90.3
4,St. Michael,was honored by,the river,True,100.0,1.0,1.0,0.774,92.5
4,the river,being named for,him,True,100.0,1.0,1.0,0.806,93.5
4,the river,being named,him,True,100.0,1.0,1.0,0.839,94.6
4,as,is,such,False,82.4,0.824,1.0,0.903,90.9
4,St. Michael,"considered Because, Because of considered, be to the patron saint, the patron saint of",colonial Maryland,False,84.1,0.841,1.0,0.419,75.3
4,St. Michael,"such, considered honored by",the river,True,93.5,0.935,1.0,0.742,89.2
4,St. Michael,"the river named, named for",him,True,90.9,0.909,1.0,0.742,88.4
5,The show,happening in,"spoof adverts , short sketches , and recurring show elements",True,98.0,0.98,1.0,0.548,84.3
5,The show,as was,as if the viewer was channel surfing through a multi-channel wasteland,True,100.0,1.0,1.0,0.516,83.9
5,The show,happening,"happening upon spoof adverts , short sketches , and recurring show elements",True,100.0,1.0,1.0,0.516,83.9
5,the viewer,was,channel,True,100.0,1.0,1.0,0.871,95.7
5,the viewer,surfing,surfing through a multi-channel wasteland,True,100.0,1.0,1.0,0.742,91.4
5,The show,surfing in,a multi-channel wasteland,True,96.6,0.966,1.0,0.774,91.3
5,The show,recurring,show elements,True,100.0,1.0,1.0,0.839,94.6
5,The show,"designed, appear to, designed appear",the viewer,False,81.6,0.816,1.0,0.71,84.2
5,The show,"was channel surfing, surfing through",a multi-channel wasteland,True,93.2,0.932,1.0,0.677,87.0
5,The show,"happening, happening upon",spoof adverts,False,87.1,0.871,1.0,0.774,88.2
5,The show,short sketches recurring,show elements,True,100.0,1.0,1.0,0.774,92.5
6,the remaining trackage,was abandoned,the remaining trackage at Charles City,True,100.0,1.0,1.0,0.083,69.4
6,the remaining trackage,abandoned,Several years later,True,100.0,1.0,1.0,0.417,80.6
6,the remaining trackage,"abandoned Several years later, the remaining trackage at",Charles City,True,95.1,0.951,1.0,0.0,65.0
7,Dr. Jagan,was involved,Dr. Jagan himself,True,100.0,1.0,1.0,0.708,90.3
7,Dr. Jagan,involved in,the organization of the strike,True,100.0,1.0,1.0,0.625,87.5
7,Dr. Jagan,to raise in,funds,True,100.0,1.0,1.0,0.75,91.7
7,Dr. Jagan,raise in,the country,True,100.0,1.0,1.0,0.75,91.7
7,Dr. Jagan,raise,it,True,100.0,1.0,1.0,0.833,94.4
