sent_id,sentence,n_sys_triples,n_high_fidelity_triples,avg_correctness(precision),completeness(recall),f1
1,32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .,11,10,0.985,1.0,0.993
2,A CEN forms an important but small part of a Local Strategic Partnership .,3,3,1.0,1.0,1.0
3,"A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .",7,7,0.991,1.0,0.996
4,"A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .",4,3,0.949,0.9,0.924
5,A casting director at the time told Scott that he had wished that he 'd met him a week before ; he was casting for the `` G.I. Joe '' cartoon .,12,12,0.987,1.0,0.993
6,"A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .",14,13,0.985,0.842,0.908
7,A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .,6,6,0.979,1.0,0.99
8,"A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .",9,7,0.966,1.0,0.983
9,"A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .",9,8,0.956,1.0,0.977
10,"A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .",15,13,0.98,1.0,0.99
11,A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .,6,5,0.969,0.923,0.946
12,"A short distance to the east , NC 111 diverges on Greenwood Boulevard .",1,1,0.974,0.875,0.922
13,"A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .",12,8,0.919,0.933,0.926
14,"According to Hofmann , while still a teenage coin collector , he forged a rare mint mark on a dime and was told by an organization of coin collectors that it was genuine .",13,12,0.982,1.0,0.991
15,"According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .",10,9,0.98,0.938,0.958
16,"According to the 2010 census , the population of the town is 2,310 .",3,2,0.961,1.0,0.98
17,"According to the South Koreans , many Koreans became victims of Japanese brutalities during the colonial period .",6,5,0.956,1.0,0.978
18,"According to the United States Census Bureau , the town has a total area of , all of it land .",6,6,0.984,0.909,0.945
19,"According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .",18,15,0.968,1.0,0.984
20,"Accordingly , the 1962 Roman Missal , the edition whose continued use as an extraordinary form of the Roman Rite is authorized by the motu proprio `` Summorum Pontificum '' , also has no mention of her .",13,13,1.0,1.0,1.0
21,"Additionally , the French Community of Belgium has controversially begun referring to itself exclusively as the ` Wallonia-Brussels Federation ' to emphasize the links between the French Community , Wallonia and Brussels .",7,6,0.974,0.941,0.957
22,After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .,7,5,0.963,0.846,0.901
23,"After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .",8,7,0.979,1.0,0.989
24,"After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .",17,15,0.966,1.0,0.983
25,"After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .",7,6,0.969,0.857,0.909
26,After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .,9,7,0.96,1.0,0.98
27,"Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .",9,8,0.986,1.0,0.993
28,"Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .",13,11,0.963,1.0,0.981
29,An animal that cares for its young but shows no other sociality traits is said to be `` subsocial '' .,6,5,0.961,0.909,0.934
30,An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .,8,7,0.97,1.0,0.985
31,And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .,11,11,1.0,1.0,1.0
32,And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .,10,8,0.979,1.0,0.989
