sent_id,sentence,n_sys_triples,n_high_fidelity_triples,avg_correctness(precision),completeness(recall),f1
1,He served as the first Prime Minister of Australia and became a founding justice of the High Court of Australia .,5,5,0.965,1.0,0.982
2,"Graner handcuffed him to the bars of a cell window and left him there , feet dangling off the floor , for nearly five hours .",12,11,0.98,1.0,0.99
3,"It deals with cases of fraud in relation to direct taxes and indirect taxes , tax credits , drug smuggling , and money laundering , cases involving United Nations trade sanctions , conflict diamonds and CITES .",10,9,0.983,1.0,0.991
4,"Because of this association , St. Michael was considered to be the patron saint of colonial Maryland , and as such was honored by the river being named for him .",9,7,0.941,1.0,0.97
5,"The show was designed to appear as if the viewer was channel surfing through a multi-channel wasteland , happening upon spoof adverts , short sketches , and recurring show elements .",11,9,0.96,1.0,0.98
6,Several years later the remaining trackage at Charles City was abandoned .,3,3,0.984,1.0,0.992
7,"Dr. Jagan himself was personally involved in the organization of the strike , and helped to raise funds across the country to it .",12,10,0.972,1.0,0.986
8,"In 1918 , the municipality was renamed Jones in honor of American congressman William Jones , who authored the Philippine Autonomy Act of 1916 that provided for greater autonomy for the Philippines under American colonial rule .",14,13,0.984,1.0,0.992
9,"Instead of ablating the tissue , the laser cuts a portion of the prostate , which is then cut into smaller pieces and flushed with irrigation fluid .",11,10,0.961,1.0,0.98
10,`` Kormoran '' was the only Axis ship to conduct attacks in Australian waters during 1941 and the last Axis surface raider to enter Australian waters until 1943 .,15,15,0.996,1.0,0.998
11,"He and his friends were said to have made bombs for fun on the outskirts of Murray , Utah .",13,11,0.974,1.0,0.987
12,"A large gravestone was erected in 1866 , over 100 years after his death .",5,4,0.966,1.0,0.982
13,"In 1879 , he was re-elected U.S. Senator and was tipped as a Presidential candidate , but died suddenly after giving a speech in Chicago .",10,6,0.897,0.857,0.876
14,This led morning show host Ryan Cameron to lobby for a frequency change for WHTA by putting together a petition from listeners at the risk of losing his job under Radio One 's management .,12,12,0.985,1.0,0.993
15,"Each of the programs uses a combination of funding priorities and geographic requirements to select grants , described on the foundation 's web site .",9,7,0.964,1.0,0.982
16,"The Institut Constant de Rebecque is a Swiss free-market , classical liberal and libertarian think tank founded in January 2005 in Lausanne , named after writer and political philosopher Benjamin Constant .",10,10,0.991,1.0,0.996
17,The main reason for this adoption over mainline gimp was its support for high bit depths which can be required for film work .,7,6,0.962,1.0,0.981
18,"They have a large range of possible power supplies , and can be 380V , 1000V , or even higher .",9,9,1.0,1.0,1.0
19,She began her film career in 1947 in the film `` A New Oath '' .,7,7,0.99,1.0,0.995
20,"The brightest star in Serpens , Alpha Serpentis , or Unukalhai , is a red giant of spectral type K2III located approximately away which marks the snake 's heart .",6,5,0.947,1.0,0.973
21,"This manual for warriors describes the necessity for understanding an opponent 's weaknesses , for using spies , and for striking in moments of weakness .",11,9,0.958,1.0,0.979
22,It was club policy to promote talent into the senior team that was adopted by Bill Dimovski .,9,8,0.974,1.0,0.987
23,"Vaccinations against other viral diseases followed , including the successful rabies vaccination by Louis Pasteur in 1886 .",6,5,0.968,1.0,0.984
24,"One major difference between the two models is that the Photographic Model follows more of a step-by-step process in the development of flashbulb accounts , whereas the Comprehensive Model demonstrates an interconnected relationship between the variables .",12,12,0.996,1.0,0.998
25,"That night , 300 soldiers of the 1st SS Battalion were able to reinforce the hotel and defeat several attacks on the building .",7,6,0.972,0.923,0.947
26,"His son , John Crozier , Jr. , was an early aviation pioneer who began building a human-powered flying machine in the 1890s , but was killed in a feud in Grainger County before he could complete it .",21,21,0.984,0.952,0.968
27,"Arminius , leader of the Cherusci and allies , now had a free hand .",5,5,0.993,1.0,0.997
28,"The culture of Bhutan is fully reflected in the capital city in respect of literature , religion , customs , and national dress code , the monastic practices of the monasteries , music , dance , literature and in the media .",10,8,0.968,1.0,0.984
29,"`` My Classical Way '' was released on 21 September 2010 on Marc 's own label , Frazzy Frog Music .",5,5,0.972,1.0,0.986
30,"In England and Wales , as an `` attempt '' , attempted murder is an offence under section 1 of the Criminal Attempts Act 1981 and is an indictable offence which carries a maximum penalty of life imprisonment .",9,9,0.988,1.0,0.994
31,Lugo and Lozano were released in 1993 and continue to reside in Venezuela .,8,6,0.95,1.0,0.974
32,"Often , objects are so far away that they do not contribute significantly to the final image .",3,1,0.856,1.0,0.922
33,The school was founded in 1851 as the German-English Academy by a group of Milwaukee German Americans that included educationist Peter Engelmann and hardware wholesaler William Frankfurth .,9,8,0.984,1.0,0.992
34,"They held the first Triangle workshop in 1982 for thirty sculptors and painters from the US , the UK and Canada at Pine Plains , New York .",8,8,1.0,1.0,1.0
35,The town and surrounding villages were hit by two moderate earthquakes within ten years .,5,5,0.991,1.0,0.995
36,"She received her Master Degree in the field of Controls , Guidance and Instrumentation from I.I.T Madras and Ph.d degree from the department of Aerospace engineering .",8,8,1.0,1.0,1.0
37,The theatrical flourishes and unique gimmicks she used in her stage show went beyond established burlesque routines like the fan dance and balloon dance .,8,8,0.987,1.0,0.994
38,The RIAA lists it as one of the Best Selling Albums of All Time .,5,5,1.0,1.0,1.0
39,The Cathedral and the belfry were thoroughly renovated from 2006 to 2008 .,9,8,0.984,1.0,0.992
40,"When the band is not touring , Peter Bywaters offers personal English as a second language tuition on a live-in basis at his home in Brighton .",9,9,1.0,1.0,1.0
41,"These screening activities include : review of group-based data ; hearing , vision , motor , and speech/language screening ; and review by the Special Education administration .",11,11,0.996,1.0,0.998
42,"He probably saw active service as a soldier for the Scottish forces in The Netherlands in the later 1570s , although there is no certain documentary evidence of this .",11,11,0.984,1.0,0.992
43,"The Nazis did however permit a single dress rehearsal in Salzburg , conducted by Clemens Krauss on 16 August , in order that Strauss and an invited audience could hear the work performed .",11,11,1.0,1.0,1.0
44,This is usually caused by interacting inductive and capacitive elements in the oscillator .,4,4,0.98,1.0,0.99
45,Sligo town then became an incorporated municipal borough with a Royal Charter issued by the British King James I in 1613/14 .,7,7,0.986,1.0,0.993
46,Tom McMorran joined the band in 1994 after Mark Portmann left and in August of that year the band released `` Sahara '' .,14,12,0.963,1.0,0.981
47,"As she reads the articles , she also makes veiled references and innuendo relating to the slang use of `` beaver '' .",9,8,0.984,1.0,0.992
48,23.8 % of all households were made up of individuals and 13.0 % had someone living alone who was 65 years of age or older .,11,10,0.985,1.0,0.993
49,"Overseas teams would not return to Russia until 1998 , when a youth tournament was held in Moscow .",8,7,0.977,1.0,0.988
50,"The British Army had been shown to be overstretched by the Crimean War , while the mutiny in India had led to the responsibility for providing a garrison in the subcontinent from the Honourable East India Company to the Crown forces .",14,14,0.99,1.0,0.995
51,Just above seen is a replica of a Shiva lingam .,1,1,1.0,0.667,0.8
52,The ninth leaf contains a circular world map measuring in circumference .,4,4,0.98,1.0,0.99
53,"It hosts the `` Zomercarnaval '' , the second largest Caribbean carnival in Europe , originally called the Antillean carnival .",6,6,0.996,1.0,0.998
54,The power cepstrum of a signal is defined as the squared magnitude of the inverse Fourier transform of the logarithm of the squared magnitude of the Fourier transform of a signal .,9,8,0.976,1.0,0.988
55,"Many lodge members , youth and adult , are active staff members of both Scout and Cub Scout camps .",4,4,0.983,1.0,0.992
56,"From 1970 to 1985 , Gideon Rodan taught at the University of Connecticut School of Dental Medicine until he switched over to Merck .",8,8,0.983,1.0,0.991
57,These are known as Porter 's three generic strategies and can be applied to any size or form of business .,6,5,0.968,1.0,0.984
58,"For patients who do not recover quickly , the protocol also includes support groups and/or psychotherapy .",5,5,0.98,1.0,0.99
59,They do n't possess eyelids so they must lick their eyeballs clean in order to keep them moist .,12,11,0.98,1.0,0.99
60,"They acquired the Charles City Western on December 31 , 1963 .",4,4,1.0,1.0,1.0
61,"Hofmann was born in Salt Lake City , Utah .",3,3,0.945,1.0,0.972
62,"In 1962 , Salahuddin won from Patharghatti assembly seat as an Independent candidate and later from Charminar constituency in 1967 .",8,8,0.985,1.0,0.993
63,"Around the `` triangle area , '' which includes Quanzhou , Xiamen and Zhangzhou , locals all speak Minnan languages .",9,8,0.986,1.0,0.993
64,Childers 's biographer Andrew Boyle noted : `` For the next ten years Childers 's book remained the most powerful contribution of any English writer to the debate on Britain 's alleged military unpreparedness '' .,13,13,0.985,1.0,0.992
65,"Though this time , the Brumbies won , 47 to 38 in front of a record crowd at Canberra Stadium .",6,5,0.982,0.818,0.893
66,A different judge then ordered the case reviewed by a higher court .,4,3,0.974,1.0,0.987
67,"As a result , environmental factors are also understood to contribute heavily to the strength of intimate relationships .",5,4,0.955,1.0,0.977
68,"For liquid-packed vessels , thermal relief valves are generally characterized by the relatively small size of the valve necessary to provide protection from excess pressure caused by thermal expansion .",10,9,0.98,1.0,0.99
69,"Callaghan 's decision on the Japanese pilot 's funeral in 1945 would receive praise years later , although a memorial service aboard the `` Missouri '' in April 2001 attracted controversy .",12,12,0.987,0.95,0.968
70,After this she became very ill with a severe cold or pneumonia .,5,4,0.932,1.0,0.965
71,"The RSNO 's base is at Henry Wood Hall in Glasgow and is also used as its recording venue ; a new base is being constructed within the Royal Concert Hall , Buchanan Street .",10,8,0.97,1.0,0.985
72,"His main power , the Omega Beam , is a form of energy that he fires from his eyes as either a concussive force or disintegrating energy , capable of transmuting or erasing living objects and organisms from existence as well as resurrecting them , depending on the dark lord 's will .",19,18,0.974,1.0,0.987
73,The 2005 model introduced a third row of seats to the Pathfinder line for the first time .,6,6,1.0,1.0,1.0
74,The district also provides recreation and leisure services to many non-residents of the area on a fee basis .,8,6,0.923,0.909,0.916
75,The very ease of acquiring Esperanto might even accelerate the process .,5,4,0.964,1.0,0.981
76,He further stated that Hauptmann looked different and that `` John '' was actually dead because he had been murdered by his confederates .,10,10,0.985,1.0,0.992
77,"The RSNO also performs throughout Scotland , at such venues as the Glasgow Royal Concert Hall , Usher Hall , Caird Hall , Aberdeen Music Hall , Perth Concert Hall and Eden Court Inverness .",5,4,0.967,1.0,0.983
78,"Five years later , Alvarez was reunited with his family in New York and his father was able to start a business in Hoboken , New Jersey .",12,12,0.986,1.0,0.993
79,The Anti-Monitor began to siphon the positive matter of New York City to create his Antimatter waves .,6,5,0.982,1.0,0.991
80,These tracks have subsequently been included on CD reissues of the album `` The Plan '' .,4,3,0.945,0.875,0.909
81,"He develops significance both as a recurrent character in the series and friend to Dream , appearing in a total of seven issues spanning six hundred years .",12,10,0.974,0.938,0.956
82,"Davis released about 25 singles during his seven years with Dakar , most of them big R&B sellers produced by Willie Henderson .",12,12,0.99,1.0,0.995
83,"In 2010 , popular internet reviewers RedLetterMedia delivered a scathing video critique of the film , drawing negative comparisons to The Three Stooges , Looney Tunes , and `` Home Alone '' .",13,13,1.0,1.0,1.0
84,"Within England and especially Scotland , there were repeated attempts by the deposed House of Stewart to regain the throne , leading to severe uprisings .",5,5,0.99,0.933,0.961
85,These skills were readily proven when squadrons and personnel were mobilized and recalled back to active duty during the Korean War and the Berlin Crisis .,7,6,0.961,1.0,0.98
86,"For example , when two such hydrophobic particles come very close , the clathrate-like baskets surrounding them merge .",5,4,0.978,1.0,0.989
87,"The doctor , Erasistratus , suspects love is behind Antiochus 's suffering .",5,5,0.979,1.0,0.989
88,"The Lletty Shenkin explosion of 1849 , in particular , led to demands the local middle classes in Aberdare , for improved safety in the mines .",8,7,0.974,1.0,0.987
89,"In 1717 Lady Mary Wortley Montagu observed the practice in Istanbul and attempted to popularize it in Britain , but encountered considerable resistance .",10,9,0.988,0.933,0.96
90,"The two companies are teaming up again for the Future Vertical Lift prototype called SB-1 Defiant , where employees from both companies will work together .",7,6,0.98,1.0,0.99
91,"He had been at the Battle of the Granicus River , and had believed that Memnon 's scorched Earth strategy would work here .",3,3,0.976,0.75,0.848
92,"The film uses some computer-generated graphics : The northern lights in the scene where Inge walks through the fields to Olaf 's house to take a bath , and , later in the film , the geese flying over Olaf 's house .",19,17,0.982,1.0,0.991
93,"Legislation sponsored by Sweeney and signed into law provides state pensions to surviving family members of police , firefighters and emergency services workers who die in the line of duty , as well as the law that removes the remarriage prohibition to receive death benefits for spouses of police officers and firefighters killed while serving the public good .",26,24,0.981,1.0,0.99
94,The latter was lifted only as the b-side of `` Keep on Loving Me '' .,3,2,0.931,1.0,0.964
95,"The first single , `` Dreamer , '' features performances by keyboardist Philippe Saisse , and vocalists Jasmine Roy and Rebeca Vega .",8,7,0.986,1.0,0.993
96,QVC Network Inc. said it completed its acquisition of CVN Cos. for about $ 423 million .,7,6,0.978,0.909,0.942
